1960   ||   the_entertainer   ||   89%   ||   74%   ||   {Drama, Musical & Performing Arts, Art House & International, Classics}   ||   1 hr. 37 min.
1960   ||   inherit_the_wind   ||   91%   ||   91%   ||   {Drama, Faith & Spirituality, Classics}   ||   2 hr. 8 min.
1999   ||   american_beauty   ||   88%   ||   93%   ||   {Drama, Comedy}   ||   2 hr. 2 min.
1999   ||   the_insider   ||   96%   ||   90%   ||   {Drama}   ||   2 hr. 37 min.
1999   ||   the_straight_story   ||   96%   ||   91%   ||   {Drama, Action & Adventure, Kids & Family}   ||   1 hr. 51 min.
1999   ||   sweet_and_lowdown   ||   78%   ||   81%   ||   {Drama, Musical & Performing Arts, Art House & International, Comedy}   ||   1 hr. 35 min.
1999   ||   the_hurricane   ||   83%   ||   87%   ||   {Drama, Sports & Fitness, Mystery & Suspense}   ||   2 hr. 26 min.
1966   ||   a_man_for_all_seasons   ||   82%   ||   87%   ||   {Drama, Classics}   ||   2 hr. 1 min.
1966   ||   the_russians_are_coming,_the_russians_are_coming   ||   84%   ||   75%   ||   {Drama, Classics, Comedy}   ||   2 hr. 6 min.
1966   ||   alfie   ||   100%   ||   76%   ||   {Drama, Romance, Classics, Comedy}   ||   1 hr. 53 min.
1966   ||   the_sand_pebbles   ||   88%   ||   88%   ||   {Drama, Action & Adventure, Romance, Classics}   ||   2 hr. 59 min.
1990   ||   reversal_of_fortune   ||   94%   ||   76%   ||   {Mystery & Suspense, Drama}   ||   1 hr. 49 min.
1990   ||   dances_with_wolves   ||   82%   ||   87%   ||   {Western, Drama, Action & Adventure}   ||   3 hr. 1 min.
1990   ||   awakenings   ||   88%   ||   89%   ||   {Drama}   ||   2 hr.
1990   ||   cyrano_de_bergerac   ||   100%   ||   91%   ||   {Drama, Romance, Art House & International, Comedy}   ||   2 hr. 15 min.
1990   ||   the_field   ||   43%   ||   81%   ||   {Art House & International, Drama}   ||   1 hr. 53 min.
2014   ||   the_theory_of_everything   ||   79%   ||   84%   ||   {Drama}   ||   2 hr. 3 min.
2014   ||   foxcatcher   ||   89%   ||   66%   ||   {Drama}   ||   2 hr. 10 min.
2014   ||   american_sniper   ||   72%   ||   85%   ||   {Drama, Action & Adventure}   ||   2 hr. 14 min.
2014   ||   the_imitation_game   ||   90%   ||   92%   ||   {Mystery & Suspense, Drama}   ||   1 hr. 54 min.
2014   ||   birdman   ||   91%   ||   77%   ||   {Drama, Comedy}   ||   1 hr. 59 min.
2001   ||   training_day   ||   72%   ||   89%   ||   {Drama, Action & Adventure, Mystery & Suspense}   ||   2 hr. 2 min.
2001   ||   a_beautiful_mind   ||   75%   ||   93%   ||   {Drama}   ||   2 hr. 15 min.
2001   ||   i_am_sam   ||   34%   ||   87%   ||   {Drama}   ||   2 hr. 12 min.
2001   ||   in_the_bedroom   ||   93%   ||   81%   ||   {Art House & International, Drama}   ||   2 hr. 11 min.
1957   ||   the_bridge_on_the_river_kwai   ||   94%   ||   93%   ||   {Drama, Action & Adventure, Classics}   ||   2 hr. 41 min.
1957   ||   sayonara   ||   100%   ||   79%   ||   {Drama, Romance, Classics}   ||   2 hr. 27 min.
1957   ||   a_hatful_of_rain   ||   none   ||   76%   ||   {Drama, Classics}   ||   1 hr. 49 min.
1957   ||   witness_for_the_prosecution   ||   100%   ||   95%   ||   {Drama, Mystery & Suspense, Classics}   ||   1 hr. 56 min.
1957   ||   wild_is_the_wind   ||   none   ||   70%   ||   {Drama, Classics}   ||   1 hr. 54 min.
2008   ||   milk   ||   94%   ||   89%   ||   {Drama, Gay & Lesbian}   ||   2 hr. 8 min.
2008   ||   the_visitor   ||   89%   ||   84%   ||   {Drama}   ||   1 hr. 44 min.
2008   ||   frost_nixon   ||   92%   ||   88%   ||   {Drama}   ||   2 hr. 3 min.
2008   ||   the_curious_case_of_benjamin_button   ||   72%   ||   80%   ||   {Drama, Romance, Science Fiction & Fantasy}   ||   2 hr. 46 min.
2008   ||   the_wrestler   ||   98%   ||   88%   ||   {Drama}   ||   1 hr. 49 min.
1985   ||   kiss_of_the_spider_woman   ||   88%   ||   81%   ||   {Art House & International, Drama}   ||   1 hr. 59 min.
1985   ||   witness   ||   92%   ||   80%   ||   {Drama, Romance, Mystery & Suspense}   ||   1 hr. 52 min.
1985   ||   murphys_romance   ||   70%   ||   74%   ||   {Drama, Romance, Comedy}   ||   1 hr. 48 min.
1985   ||   prizzis_honor   ||   88%   ||   62%   ||   {Drama, Romance, Comedy}   ||   2 hr. 10 min.
1985   ||   runaway_train   ||   87%   ||   77%   ||   {Drama, Action & Adventure}   ||   1 hr. 50 min.
1974   ||   harry_and_tonto   ||   88%   ||   82%   ||   {Drama, Classics, Comedy}   ||   1 hr. 55 min.
1974   ||   murder_on_the_orient_express   ||   95%   ||   79%   ||   {Mystery & Suspense}   ||   2 hr. 8 min.
1974   ||   lenny   ||   100%   ||   88%   ||   {Drama, Classics}   ||   1 hr. 51 min.
1974   ||   chinatown   ||   98%   ||   93%   ||   {Drama, Mystery & Suspense, Classics}   ||   2 hr. 10 min.
1975   ||   one_flew_over_the_cuckoos_nest   ||   95%   ||   96%   ||   {Drama, Classics, Comedy}   ||   2 hr. 14 min.
1975   ||   the_sunshine_boys   ||   81%   ||   73%   ||   {Drama, Classics, Comedy}   ||   1 hr. 51 min.
1975   ||   dog_day_afternoon   ||   95%   ||   90%   ||   {Drama, Classics}   ||   2 hr. 30 min.
1975   ||   the_man_in_the_glass_booth   ||   none   ||   82%   ||   {Drama, Classics}   ||   1 hr. 57 min.
1975   ||   give_em_hell,_harry!   ||   100%   ||   82%   ||   {Drama, Comedy}   ||   1 hr. 42 min.
2013   ||   dallas_buyers_club   ||   94%   ||   91%   ||   {Drama}   ||   1 hr. 57 min.
2013   ||   american_hustle   ||   93%   ||   74%   ||   {Drama}   ||   2 hr. 9 min.
2013   ||   nebraska   ||   91%   ||   83%   ||   {Drama}   ||   1 hr. 55 min.
2013   ||   the_wolf_of_wall_street   ||   77%   ||   82%   ||   {Drama}   ||   2 hr. 59 min.
2013   ||   12_years_a_slave   ||   96%   ||   90%   ||   {Drama}   ||   2 hr. 14 min.
1973   ||   save_the_tiger   ||   91%   ||   74%   ||   {Drama, Classics}   ||   1 hr. 39 min.
1973   ||   last_tango_in_paris   ||   81%   ||   76%   ||   {Drama, Romance, Art House & International}   ||   2 hr. 10 min.
1973   ||   the_last_detail   ||   93%   ||   87%   ||   {Drama, Classics, Comedy}   ||   1 hr. 44 min.
1973   ||   serpico   ||   90%   ||   88%   ||   {Drama, Mystery & Suspense, Classics}   ||   2 hr. 9 min.
1973   ||   the_sting   ||   93%   ||   95%   ||   {Drama, Classics, Comedy}   ||   2 hr. 9 min.
1970   ||   patton   ||   95%   ||   94%   ||   {Drama, Classics}   ||   2 hr. 50 min.
1970   ||   i_never_sang_for_my_father   ||   100%   ||   81%   ||   {Drama}   ||   1 hr. 32 min.
1970   ||   the_great_white_hope   ||   43%   ||   66%   ||   {Drama, Classics}   ||   1 hr. 43 min.
1970   ||   five_easy_pieces   ||   86%   ||   85%   ||   {Drama, Musical & Performing Arts, Classics}   ||   1 hr. 38 min.
1970   ||   love_story   ||   57%   ||   76%   ||   {Drama, Romance}   ||   1 hr. 40 min.
1983   ||   tender_mercies   ||   85%   ||   82%   ||   {Drama}   ||   1 hr. 29 min.
1983   ||   educating_rita   ||   85%   ||   81%   ||   {Drama, Romance, Art House & International, Comedy}   ||   1 hr. 50 min.
1983   ||   reuben,_reuben   ||   100%   ||   81%   ||   {Comedy}   ||   1 hr. 41 min.
1983   ||   the_dresser   ||   100%   ||   88%   ||   {Art House & International, Drama}   ||   1 hr. 58 min.
1983   ||   the_dresser   ||   100%   ||   88%   ||   {Art House & International, Drama}   ||   1 hr. 58 min.
1965   ||   cat_ballou   ||   100%   ||   75%   ||   {Western, Musical & Performing Arts, Classics, Comedy}   ||   1 hr. 37 min.
1965   ||   the_spy_who_came_in_from_the_cold   ||   85%   ||   82%   ||   {Drama, Action & Adventure, Mystery & Suspense, Classics}   ||   1 hr. 52 min.
1965   ||   othello   ||   80%   ||   65%   ||   {Drama, Romance, Musical & Performing Arts, Classics}   ||   2 hr. 14 min.
1965   ||   the_pawnbroker   ||   100%   ||   89%   ||   {Drama, Classics}   ||   1 hr. 56 min.
1965   ||   ship_of_fools   ||   81%   ||   80%   ||   {Documentary, Drama, Romance, Classics}   ||   52 min.
1972   ||   the_godfather   ||   99%   ||   98%   ||   {Drama}   ||   2 hr. 55 min.
1972   ||   sleuth   ||   96%   ||   90%   ||   {Horror, Art House & International, Mystery & Suspense, Classics, Cult Movies}   ||   2 hr. 18 min.
1972   ||   sleuth   ||   96%   ||   90%   ||   {Horror, Art House & International, Mystery & Suspense, Classics, Cult Movies}   ||   2 hr. 18 min.
1972   ||   the_ruling_class   ||   82%   ||   86%   ||   {Musical & Performing Arts, Art House & International, Classics, Comedy}   ||   2 hr. 34 min.
1972   ||   sounder   ||   88%   ||   77%   ||   {Drama, Kids & Family, Classics}   ||   1 hr. 45 min.
1968   ||   charly   ||   71%   ||   61%   ||   {Drama, Classics, Science Fiction & Fantasy}   ||   1 hr. 55 min.
1968   ||   the_heart_is_a_lonely_hunter   ||   100%   ||   86%   ||   {Drama, Classics}   ||   2 hr. 3 min.
1968   ||   the_fixer   ||   71%   ||   54%   ||   {Drama}   ||   2 hr. 12 min.
1968   ||   oliver!   ||   81%   ||   81%   ||   {Drama, Kids & Family, Musical & Performing Arts, Classics, Comedy}   ||   2 hr. 33 min.
1968   ||   the_lion_in_winter   ||   90%   ||   90%   ||   {Drama, Classics}   ||   2 hr. 14 min.
1981   ||   on_golden_pond   ||   92%   ||   87%   ||   {Drama}   ||   1 hr. 49 min.
1981   ||   reds   ||   94%   ||   82%   ||   {Drama, Romance, Classics}   ||   3 hr. 15 min.
1981   ||   atlantic_city   ||   100%   ||   78%   ||   {Drama, Romance, Art House & International}   ||   1 hr. 43 min.
1981   ||   arthur   ||   90%   ||   77%   ||   {Comedy, Romance}   ||   1 hr. 39 min.
1981   ||   absence_of_malice   ||   86%   ||   61%   ||   {Drama, Romance, Mystery & Suspense}   ||   1 hr. 56 min.
1977   ||   the_goodbye_girl   ||   88%   ||   84%   ||   {Comedy, Romance}   ||   1 hr. 50 min.
1977   ||   annie_hall   ||   98%   ||   93%   ||   {Comedy, Romance}   ||   1 hr. 33 min.
1977   ||   equus   ||   71%   ||   78%   ||   {Drama, Horror, Mystery & Suspense}   ||   2 hr. 17 min.
1977   ||   saturday_night_fever   ||   88%   ||   71%   ||   {Drama, Musical & Performing Arts, Classics}   ||   2 hr. 2 min.
1997   ||   as_good_as_it_gets   ||   86%   ||   87%   ||   {Drama, Romance, Comedy}   ||   2 hr. 19 min.
1997   ||   good_will_hunting   ||   97%   ||   94%   ||   {Drama}   ||   2 hr. 6 min.
1997   ||   the_apostle   ||   91%   ||   78%   ||   {Drama}   ||   2 hr. 14 min.
1997   ||   ulees_gold   ||   94%   ||   74%   ||   {Drama}   ||   1 hr. 51 min.
1997   ||   wag_the_dog   ||   85%   ||   76%   ||   {Comedy}   ||   1 hr. 37 min.
1949   ||   all_the_kings_men   ||   97%   ||   77%   ||   {Drama, Classics}   ||   1 hr. 49 min.
1949   ||   champion   ||   92%   ||   73%   ||   {Drama, Classics}   ||   1 hr. 39 min.
1949   ||   twelve_oclock_high   ||   96%   ||   87%   ||   {Drama, Action & Adventure, Classics}   ||   2 hr. 12 min.
1949   ||   the_hasty_heart   ||   none   ||   71%   ||   {Drama, Classics}   ||   1 hr. 39 min.
1949   ||   sands_of_iwo_jima   ||   100%   ||   80%   ||   {Drama, Action & Adventure, Classics}   ||   1 hr. 49 min.
2011   ||   the_artist   ||   97%   ||   87%   ||   {Drama, Romance, Comedy}   ||   1 hr. 40 min.
2011   ||   a_better_life   ||   85%   ||   79%   ||   {Drama}   ||   1 hr. 38 min.
2011   ||   the_descendants   ||   89%   ||   79%   ||   {Drama, Comedy}   ||   1 hr. 55 min.
2011   ||   tinker_tailor_soldier_spy   ||   83%   ||   65%   ||   {Mystery & Suspense, Drama}   ||   2 hr. 8 min.
2011   ||   moneyball   ||   94%   ||   86%   ||   {Drama}   ||   2 hr. 13 min.
1948   ||   johnny_belinda   ||   88%   ||   88%   ||   {Drama, Classics}   ||   1 hr. 43 min.
1948   ||   the_search   ||   100%   ||   91%   ||   {Drama, Art House & International, Classics}   ||   1 hr. 44 min.
1948   ||   when_my_baby_smiles_at_me   ||   none   ||   33%   ||   {Drama, Musical & Performing Arts, Classics}   ||   1 hr. 38 min.
1948   ||   sitting_pretty   ||   none   ||   79%   ||   {Comedy}   ||   1 hr. 24 min.
1950   ||   cyrano_de_bergerac   ||   83%   ||   82%   ||   {Drama, Romance, Classics}   ||   1 hr. 52 min.
1950   ||   the_magnificent_yankee   ||   none   ||   53%   ||   {Drama, Classics}   ||   8 hr. 30 min.
1950   ||   sunset_boulevard   ||   98%   ||   95%   ||   {Drama, Classics}   ||   1 hr. 51 min.
1950   ||   harvey   ||   84%   ||   93%   ||   {Drama, Classics, Science Fiction & Fantasy, Comedy}   ||   1 hr. 44 min.
1950   ||   father_of_the_bride   ||   93%   ||   74%   ||   {Drama, Classics, Comedy}   ||   1 hr. 33 min.
1979   ||   kramer_vs._kramer   ||   88%   ||   89%   ||   {Drama}   ||   1 hr. 45 min.
