year,     event,     actor,     movie,     role,     won
1990,     (63rd) best actor,     Jeremy Irons,     Reversal of Fortune,     Claus von Bülow,     True
1990,     (63rd) best actor,     Kevin Costner,     Dances with Wolves,     Lieutenant John J. Dunbar,     False
1990,     (63rd) best actor,     Robert De Niro,     Awakenings,     Leonard Lowe,     False
1990,     (63rd) best actor,     Gérard Depardieu,     Cyrano de Bergerac,     Cyrano de Bergerac,     False
1990,     (63rd) best actor,     Richard Harris,     The Field,     "Bull" McCabe,     False
2014,     (87th) best actor,     Eddie Redmayne,     The Theory of Everything,     Stephen Hawking,     True
2014,     (87th) best actor,     Steve Carell,     Foxcatcher,     John du Pont,     False
2014,     (87th) best actor,     Bradley Cooper,     American Sniper,     Chris Kyle,     False
2014,     (87th) best actor,     Benedict Cumberbatch,     The Imitation Game,     Alan Turing,     False
2014,     (87th) best actor,     Michael Keaton,     Birdman,     Riggan Thomson,     False
2001,     (74th) best actor,     Denzel Washington,     Training Day,     Detective Alonzo Harris,     True
2001,     (74th) best actor,     Russell Crowe,     A Beautiful Mind,     John Forbes Nash, Jr.,     False
2001,     (74th) best actor,     Sean Penn,     I Am Sam,     Sam Dawson,     False
2001,     (74th) best actor,     Will Smith,     Ali,     Muhammad Ali,     False
2001,     (74th) best actor,     Tom Wilkinson,     In the Bedroom,     Dr. Matt Fowler,     False
1957,     (30th) best actor,     Alec Guinness,     The Bridge on the River Kwai,     Lt. Colonel L. Nicholson, D.S.O.,     True
1957,     (30th) best actor,     Marlon Brando,     Sayonara,     Major Lloyd "Ace" Gruver, USAF,     False
1957,     (30th) best actor,     Anthony Franciosa,     A Hatful of Rain,     Polo Pope,     False
1957,     (30th) best actor,     Charles Laughton,     Witness for the Prosecution,     Sir Wilfrid Robarts,     False
1957,     (30th) best actor,     Anthony Quinn,     Wild Is the Wind,     Gino,     False
2008,     (81st) best actor,     Sean Penn,     Milk,     Harvey Milk,     True
2008,     (81st) best actor,     Richard Jenkins,     The Visitor,     Walter Vale,     False
2008,     (81st) best actor,     Frank Langella,     Frost/Nixon,     Richard Nixon,     False
2008,     (81st) best actor,     Brad Pitt,     The Curious Case of Benjamin Button,     Benjamin Button,     False
2008,     (81st) best actor,     Mickey Rourke,     The Wrestler,     Randy "The Ram" Robinson,     False
1985,     (58th) best actor,     William Hurt,     Kiss of the Spider Woman,     Luis Molina,     True
1985,     (58th) best actor,     Harrison Ford,     Witness,     Detective Captain John Book,     False
1985,     (58th) best actor,     James Garner,     Murphy's Romance,     Murphy Jones,     False
1985,     (58th) best actor,     Jack Nicholson,     Prizzi's Honor,     Charley Partanna,     False
1985,     (58th) best actor,     Jon Voight,     Runaway Train,     Oscar "Manny" Manheim,     False
1974,     (47th) best actor,     Art Carney,     Harry and Tonto,     Harry Coombes,     True
1974,     (47th) best actor,     Albert Finney,     Murder on the Orient Express,     Hercule Poirot,     False
1974,     (47th) best actor,     Dustin Hoffman,     Lenny,     Lenny Bruce,     False
1974,     (47th) best actor,     Jack Nicholson,     Chinatown,     J. J. "Jake" Gittes,     False
1974,     (47th) best actor,     Al Pacino,     The Godfather Part II,     Michael Corleone,     False
1975,     (48th) best actor,     Jack Nicholson,     One Flew Over the Cuckoo's Nest,     Randle Patrick "Mac" McMurphy,     True
1975,     (48th) best actor,     Walter Matthau,     The Sunshine Boys,     Willy Clark,     False
1975,     (48th) best actor,     Al Pacino,     Dog Day Afternoon,     Sonny Wortzik,     False
1975,     (48th) best actor,     Maximilian Schell,     The Man in the Glass Booth,     Arthur Goldman,     False
1975,     (48th) best actor,     James Whitmore,     Give 'em Hell, Harry!,     Harry S. Truman,     False
2013,     (86th) best actor,     Matthew McConaughey,     Dallas Buyers Club,     Ron Woodroof,     True
2013,     (86th) best actor,     Christian Bale,     American Hustle,     Irving Rosenfeld,     False
2013,     (86th) best actor,     Bruce Dern,     Nebraska,     Woodrow "Woody" Grant,     False
2013,     (86th) best actor,     Leonardo DiCaprio,     The Wolf of Wall Street,     Jordan Belfort,     False
2013,     (86th) best actor,     Chiwetel Ejiofor,     12 Years a Slave,     Solomon Northup,     False
1973,     (46th) best actor,     Jack Lemmon,     Save the Tiger,     Harry Stoner,     True
1973,     (46th) best actor,     Marlon Brando,     Last Tango in Paris,     Paul,     False
1973,     (46th) best actor,     Jack Nicholson,     The Last Detail,     Signalman First Class Billy L. "Badass" Buddusky,     False
1973,     (46th) best actor,     Al Pacino,     Serpico,     Frank Serpico,     False
1973,     (46th) best actor,     Robert Redford,     The Sting,     Johnny "Kelly" Hooker,     False
1970,     (43rd) best actor,     George C. Scott,     Patton,     General George S. Patton, Jr.,     True
1970,     (43rd) best actor,     Melvyn Douglas,     I Never Sang for My Father,     Tom Garrison,     False
1970,     (43rd) best actor,     James Earl Jones,     The Great White Hope,     Jack Jefferson,     False
