year,     event,     actor,     movie,     role,     won
1954,     (27th) best actor,     Bing Crosby,     The Country Girl,     Frank Elgin,     False
1954,     (27th) best actor,     James Mason,     A Star Is Born,     Norman Maine,     False
1954,     (27th) best actor,     Dan O'Herlihy,     Adventures of Robinson Crusoe,     Robinson Crusoe,     False
1984,     (57th) best actor,     F. Murray Abraham,     Amadeus,     Antonio Salieri,     True
1984,     (57th) best actor,     Jeff Bridges,     Starman,     Starman,     False
1984,     (57th) best actor,     Albert Finney,     Under the Volcano,     Geoffrey Firmin,     False
1984,     (57th) best actor,     Tom Hulce,     Amadeus,     Wolfgang Amadeus Mozart,     False
1984,     (57th) best actor,     Sam Waterston,     The Killing Fields,     Sydney Schanberg,     False
1996,     (69th) best actor,     Geoffrey Rush,     Shine,     David Helfgott,     True
1996,     (69th) best actor,     Tom Cruise,     Jerry Maguire,     Jerry Maguire,     False
1996,     (69th) best actor,     Ralph Fiennes,     The English Patient,     Count Laszlo de Almásy,     False
1996,     (69th) best actor,     Woody Harrelson,     The People vs. Larry Flynt,     Larry Flynt,     False
1996,     (69th) best actor,     Billy Bob Thornton,     Sling Blade,     Karl Childers,     False
1995,     (68th) best actor,     Nicolas Cage,     Leaving Las Vegas,     Ben Sanderson,     True
1995,     (68th) best actor,     Richard Dreyfuss,     Mr. Holland's Opus,     Glenn Holland,     False
1995,     (68th) best actor,     Anthony Hopkins,     Nixon,     Richard Nixon,     False
1995,     (68th) best actor,     Sean Penn,     Dead Man Walking,     Matthew Poncelet,     False
1995,     (68th) best actor,     Massimo Troisi,     Il Postino,     Mario Ruoppolo,     False
1987,     (60th) best actor,     Michael Douglas,     Wall Street,     Gordon Gekko,     True
1987,     (60th) best actor,     William Hurt,     Broadcast News,     Tom Grunick,     False
1987,     (60th) best actor,     Marcello Mastroianni,     Dark Eyes,     Romano,     False
1987,     (60th) best actor,     Jack Nicholson,     Ironweed,     Francis Phelan,     False
1987,     (60th) best actor,     Robin Williams,     Good Morning, Vietnam,     Adrian Cronauer,     False
1992,     (65th) best actor,     Al Pacino,     Scent of a Woman,     Lieutenant Colonel Frank Slade,     True
1992,     (65th) best actor,     Robert Downey, Jr.,     Chaplin,     Charlie Chaplin,     False
1992,     (65th) best actor,     Clint Eastwood,     Unforgiven,     William "Will" Munny,     False
1992,     (65th) best actor,     Stephen Rea,     The Crying Game,     Fergus,     False
1992,     (65th) best actor,     Denzel Washington,     Malcolm X,     Malcolm X,     False
1953,     (26th) best actor,     William Holden,     Stalag 17,     Sgt. J.J. Sefton,     True
1953,     (26th) best actor,     Marlon Brando,     Julius Caesar,     Mark Antony,     False
1953,     (26th) best actor,     Richard Burton,     The Robe,     Marcellus Gallio,     False
1953,     (26th) best actor,     Montgomery Clift,     From Here to Eternity,     Pvt. Robert E. Lee 'Prew' Prewitt,     False
1953,     (26th) best actor,     Burt Lancaster,     From Here to Eternity,     1st Sgt. Milton Warden,     False
2009,     (82nd) best actor,     Jeff Bridges,     Crazy Heart,     Otis "Bad" Blake,     True
2009,     (82nd) best actor,     George Clooney,     Up in the Air,     Ryan Bingham,     False
2009,     (82nd) best actor,     Colin Firth,     A Single Man,     George Falconer,     False
2009,     (82nd) best actor,     Morgan Freeman,     Invictus,     Nelson Mandela,     False
2009,     (82nd) best actor,     Jeremy Renner,     The Hurt Locker,     SFC William James,     False
2015,     (88th) best actor,     Leonardo DiCaprio,     The Revenant,     Hugh Glass,     True
2015,     (88th) best actor,     Bryan Cranston,     Trumbo,     Dalton Trumbo,     False
2015,     (88th) best actor,     Matt Damon,     The Martian,     Mark Watney,     False
2015,     (88th) best actor,     Michael Fassbender,     Steve Jobs,     Steve Jobs,     False
2015,     (88th) best actor,     Eddie Redmayne,     The Danish Girl,     Lili Elbe,     False
1978,     (51st) best actress,     Jane Fonda,     Coming Home,     Sally Hyde,     True
1978,     (51st) best actress,     Ingrid Bergman,     Autumn Sonata,     Charlotte Andergast,     False
1978,     (51st) best actress,     Ellen Burstyn,     Same Time, Next Year,     Doris,     False
1978,     (51st) best actress,     Jill Clayburgh,     An Unmarried Woman,     Erica Benton,     False
1978,     (51st) best actress,     Geraldine Page,     Interiors,     Eve,     False
1956,     (29th) best actress,     Ingrid Bergman ,     Anastasia,     Anna Koreff / Anastasia,     True
1956,     (29th) best actress,     Carroll Baker,     Baby Doll,     Baby Doll Meighan,     False
1956,     (29th) best actress,     Katharine Hepburn,     The Rainmaker,     Lizzie Curry,     False
1956,     (29th) best actress,     Nancy Kelly,     The Bad Seed,     Christine Penmark,     False
1956,     (29th) best actress,     Deborah Kerr,     The King and I,     Anna Leonowens,     False
1971,     (44th) best actress,     Jane Fonda,     Klute,     Bree Daniels,     True
1971,     (44th) best actress,     Julie Christie,     McCabe & Mrs. Miller,     Constance Miller,     False
1971,     (44th) best actress,     Glenda Jackson,     Sunday Bloody Sunday,     Alex Greville,     False
1971,     (44th) best actress,     Vanessa Redgrave,     Mary, Queen of Scots,     Mary, Queen of Scots,     False
1971,     (44th) best actress,     Janet Suzman,     Nicholas and Alexandra,     Empress Alexandra of Russia,     False
1991,     (64th) best actress,     Jodie Foster,     The Silence of the Lambs,     Clarice Starling,     True
1991,     (64th) best actress,     Geena Davis,     Thelma & Louise,     Thelma Dickinson,     False
1991,     (64th) best actress,     Laura Dern,     Rambling Rose,     Rose,     False
1991,     (64th) best actress,     Bette Midler,     For the Boys,     Dixie Leonard,     False
1991,     (64th) best actress,     Susan Sarandon,     Thelma & Louise,     Louise Sawyer,     False
2000,     (73rd) best actress,     Julia Roberts ,     Erin Brockovich,     Erin Brockovich,     True
2000,     (73rd) best actress,     Joan Allen,     The Contender,     Laine Hanson,     False
2000,     (73rd) best actress,     Juliette Binoche,     Chocolat,     Vianne Rocher,     False
2000,     (73rd) best actress,     Ellen Burstyn,     Requiem for a Dream,     Sara Goldfarb,     False
2000,     (73rd) best actress,     Laura Linney,     You Can Count on Me,     Sammy Prescott,     False
1989,     (62nd) best actress,     Jessica Tandy,     Driving Miss Daisy,     Daisy Werthan,     True
1989,     (62nd) best actress,     Isabelle Adjani,     Camille Claudel,     Camille Claudel,     False
1989,     (62nd) best actress,     Pauline Collins,     Shirley Valentine,     Shirley Valentine-Bradshaw,     False
1989,     (62nd) best actress,     Jessica Lange,     Music Box,     Ann Talbot,     False
1989,     (62nd) best actress,     Michelle Pfeiffer,     The Fabulous Baker Boys,     Susie Diamond,     False
2005,     (78th) best actress,     Reese Witherspoon,     Walk the Line,     June Carter Cash,     True
2005,     (78th) best actress,     Judi Dench,     Mrs Henderson Presents,     Laura Forster-Henderson,     False
2005,     (78th) best actress,     Felicity Huffman,     Transamerica,     Sabrina "Bree" Osbourne,     False
2005,     (78th) best actress,     Keira Knightley,     Pride & Prejudice,     Elizabeth Bennet,     False
2005,     (78th) best actress,     Charlize Theron,     North Country,     Josey Aimes,     False
1994,     (67th) best actress,     Jessica Lange,     Blue Sky,     Carly Marshall,     True
1994,     (67th) best actress,     Jodie Foster,     Nell,     Nell Kellty,     False
1994,     (67th) best actress,     Miranda Richardson,     Tom & Viv,     Vivienne Haigh-Wood,     False
1994,     (67th) best actress,     Winona Ryder,     Little Women,     Josephine "Jo" March,     False
1994,     (67th) best actress,     Susan Sarandon,     The Client,     Reggie Love,     False
1982,     (55th) best actress,     Meryl Streep,     Sophie's Choice,     Sophie Zawistowska,     True
1982,     (55th) best actress,     Julie Andrews,     Victor Victoria,     Victor Grazinski / Victoria Grant,     False
1982,     (55th) best actress,     Jessica Lange,     Frances,     Frances Farmer,     False
1982,     (55th) best actress,     Sissy Spacek,     Missing,     Beth Horman,     False
1982,     (55th) best actress,     Debra Winger,     An Officer and a Gentleman,     Paula Pokrifki,     False
2007,     (80th) best actress,     Marion Cotillard,     La Vie en rose,     Édith Piaf,     True
2007,     (80th) best actress,     Cate Blanchett,     Elizabeth: The Golden Age,     Queen Elizabeth I of England,     False
2007,     (80th) best actress,     Julie Christie,     Away from Her,     Fiona Anderson,     False
2007,     (80th) best actress,     Laura Linney,     The Savages,     Wendy Savage,     False
2007,     (80th) best actress,     Ellen Page,     Juno,     Juno MacGuff,     False
2003,     (76th) best actress,     Charlize Theron,     Monster,     Aileen Wuornos,     True
2003,     (76th) best actress,     Keisha Castle-Hughes,     Whale Rider,     Paikea Apirana,     False
2003,     (76th) best actress,     Diane Keaton,     Something's Gotta Give,     Erika Berry,     False
2003,     (76th) best actress,     Samantha Morton,     In America,     Sarah Sullivan,     False
2003,     (76th) best actress,     Naomi Watts,     21 Grams,     Cristina Williams-Peck,     False
1960,     (33rd) best actress,     Elizabeth Taylor,     BUtterfield 8,     Gloria Wandrous,     True
1960,     (33rd) best actress,     Greer Garson,     Sunrise at Campobello,     Eleanor Roosevelt,     False
1960,     (33rd) best actress,     Deborah Kerr,     The Sundowners,     Ida Carmody,     False
1960,     (33rd) best actress,     Shirley MacLaine,     The Apartment,     Fran Kubelik,     False
1960,     (33rd) best actress,     Melina Mercouri,     Never on Sunday,     Ilya,     False
1999,     (72nd) best actress,     Hilary Swank,     Boys Don't Cry,     Brandon Teena,     True
1999,     (72nd) best actress,     Annette Bening,     American Beauty,     Carolyn Burnham,     False
1999,     (72nd) best actress,     Janet McTeer,     Tumbleweeds,     Mary Jo Walker,     False
1999,     (72nd) best actress,     Julianne Moore,     The End of the Affair,     Sarah Miles,     False
1999,     (72nd) best actress,     Meryl Streep,     Music of the Heart,     Roberta Guaspari,     False
1990,     (63rd) best actress,     Kathy Bates,     Misery,     Annie Wilkes,     True
1990,     (63rd) best actress,     Anjelica Huston,     The Grifters,     Lilly Dillon,     False
1990,     (63rd) best actress,     Julia Roberts,     Pretty Woman,     Vivian Ward,     False
1990,     (63rd) best actress,     Meryl Streep,     Postcards from the Edge,     Suzanne Vale,     False
1990,     (63rd) best actress,     Joanne Woodward,     Mr. & Mrs. Bridge,     India Bridge,     False
2014,     (87th) best actress,     Julianne Moore,     Still Alice,     Alice Howland,     True
2014,     (87th) best actress,     Marion Cotillard,     Two Days, One Night,     Sandra Bya,     False
2014,     (87th) best actress,     Felicity Jones,     The Theory of Everything,     Jane Wilde-Hawking,     False
2014,     (87th) best actress,     Rosamund Pike,     Gone Girl,     Amy Elliott-Dunne,     False
2014,     (87th) best actress,     Reese Witherspoon,     Wild,     Cheryl Strayed,     False
2001,     (74th) best actress,     Halle Berry,     Monster's Ball,     Leticia Musgrove,     True
2001,     (74th) best actress,     Judi Dench,     Iris,     Iris Murdoch,     False
2001,     (74th) best actress,     Nicole Kidman,     Moulin Rouge!,     Satine,     False
2001,     (74th) best actress,     Sissy Spacek,     In the Bedroom,     Ruth Fowler,     False
2001,     (74th) best actress,     Renée Zellweger,     Bridget Jones's Diary,     Bridget Jones,     False
1957,     (30th) best actress,     Joanne Woodward,     The Three Faces of Eve,     Eve White / Eve Black / Jane,     True
1957,     (30th) best actress,     Deborah Kerr,     Heaven Knows, Mr. Allison,     Angela,     False
1957,     (30th) best actress,     Anna Magnani,     Wild Is the Wind,     Gioia,     False
1957,     (30th) best actress,     Elizabeth Taylor,     Raintree County,     Susanna Drake,     False
1957,     (30th) best actress,     Lana Turner,     Peyton Place,     Constance MacKenzie,     False
2008,     (81st) best actress,     Kate Winslet,     The Reader,     Hanna Schmitz,     True
2008,     (81st) best actress,     Anne Hathaway,     Rachel Getting Married,     Kym Buchman,     False
2008,     (81st) best actress,     Angelina Jolie,     Changeling,     Christine Collins,     False
2008,     (81st) best actress,     Melissa Leo,     Frozen River,     Ray Eddy,     False
2008,     (81st) best actress,     Meryl Streep,     Doubt,     Aloysius Beauvier,     False
1985,     (58th) best actress,     Geraldine Page,     The Trip to Bountiful,     Carrie Watts,     True
1985,     (58th) best actress,     Anne Bancroft,     Agnes of God,     Miriam Ruth,     False
1985,     (58th) best actress,     Whoopi Goldberg,     The Color Purple,     Celie Harris-Johnson,     False
1985,     (58th) best actress,     Jessica Lange,     Sweet Dreams,     Patsy Cline,     False
1985,     (58th) best actress,     Meryl Streep,     Out of Africa,     Karen Blixen,     False
1974,     (47th) best actress,     Ellen Burstyn,     Alice Doesn't Live Here Anymore,     Alice Graham-Hyatt,     True
1974,     (47th) best actress,     Diahann Carroll,     Claudine,     Claudine Price,     False
1974,     (47th) best actress,     Faye Dunaway,     Chinatown,     Evelyn Cross Mulwray,     False
1974,     (47th) best actress,     Valerie Perrine,     Lenny,     Harriett Jolliff / Honey Bruce,     False
1974,     (47th) best actress,     Gena Rowlands,     A Woman Under the Influence,     Mabel Longhetti,     False
1975,     (48th) best actress,     Louise Fletcher,     One Flew Over the Cuckoo's Nest,     Nurse Mildred Ratched,     True
1975,     (48th) best actress,     Isabelle Adjani,     The Story of Adele H.,     Adèle Hugo / Adèle Lewly,     False
1975,     (48th) best actress,     Ann-Margret,     Tommy,     Nora Walker,     False
1975,     (48th) best actress,     Glenda Jackson,     Hedda,     Hedda Gabler-Tesman,     False
1975,     (48th) best actress,     Carol Kane,     Hester Street,     Gitl,     False
2013,     (86th) best actress,     Cate Blanchett,     Blue Jasmine,     Jeanette "Jasmine" Francis,     True
2013,     (86th) best actress,     Amy Adams,     American Hustle,     Sydney Prosser,     False
2013,     (86th) best actress,     Sandra Bullock,     Gravity,     Ryan Stone,     False
2013,     (86th) best actress,     Judi Dench,     Philomena,     Philomena Lee,     False
2013,     (86th) best actress,     Meryl Streep,     August: Osage County,     Violet Weston,     False
1993,     (66th) best actress,     Holly Hunter,     The Piano,     Ada McGrath,     True
1993,     (66th) best actress,     Angela Bassett,     What's Love Got to Do with It,     Anna Mae Bullock / Tina Turner,     False
1993,     (66th) best actress,     Stockard Channing,     Six Degrees of Separation,     Ouisa Kittredge,     False
1993,     (66th) best actress,     Emma Thompson,     The Remains of the Day,     Sarah "Sally" Kenton,     False
1993,     (66th) best actress,     Debra Winger,     Shadowlands,     Joy Davidman,     False
1973,     (46th) best actress,     Glenda Jackson,     A Touch of Class,     Vicki Allessio,     True
1973,     (46th) best actress,     Ellen Burstyn,     The Exorcist,     Chris MacNeil,     False
1973,     (46th) best actress,     Marsha Mason,     Cinderella Liberty,     Maggie Paul,     False
1973,     (46th) best actress,     Barbra Streisand,     The Way We Were,     Katie Morosky,     False
1973,     (46th) best actress,     Joanne Woodward,     Summer Wishes, Winter Dreams,     Rita Walden,     False
1966,     (39th) best actress,     Elizabeth Taylor,     Who's Afraid of Virginia Woolf?,     Martha,     True
1966,     (39th) best actress,     Anouk Aimée,     A Man and a Woman,     Anne Gauthier,     False
1966,     (39th) best actress,     Ida Kamińska,     The Shop on Main Street,     Rozalie Lautmann,     False
1966,     (39th) best actress,     Lynn Redgrave,     Georgy Girl,     Georgina 'Georgy' Parkin,     False
1966,     (39th) best actress,     Vanessa Redgrave,     Morgan!,     Leonie Delt,     False
1983,     (56th) best actress,     Shirley MacLaine,     Terms of Endearment,     Aurora Greenway,     True
1983,     (56th) best actress,     Jane Alexander,     Testament,     Carol Wetherly,     False
1983,     (56th) best actress,     Meryl Streep,     Silkwood,     Karen Silkwood,     False
1983,     (56th) best actress,     Julie Walters,     Educating Rita,     Susan White / Rita,     False
1983,     (56th) best actress,     Debra Winger,     Terms of Endearment,     Emma Greenway Horton,     False
1965,     (38th) best actress,     Julie Christie,     Darling,     Diana Scott,     True
1965,     (38th) best actress,     Julie Andrews,     The Sound of Music,     Maria von Trapp,     False
1965,     (38th) best actress,     Samantha Eggar,     The Collector,     Miranda Grey,     False
1965,     (38th) best actress,     Elizabeth Hartman,     A Patch of Blue,     Selina D'Arcy,     False
1965,     (38th) best actress,     Simone Signoret,     Ship of Fools,     La Contessa,     False
1972,     (45th) best actress,     Liza Minnelli,     Cabaret,     Sally Bowles,     True
1972,     (45th) best actress,     Diana Ross,     Lady Sings the Blues,     Billie Holiday,     False
1972,     (45th) best actress,     Maggie Smith,     Travels with My Aunt,     Augusta Bertram,     False
1972,     (45th) best actress,     Cicely Tyson,     Sounder,     Rebecca Morgan,     False
1972,     (45th) best actress,     Liv Ullmann,     The Emigrants,     Kristina Nilsson,     False
1968,     (41st) best actress,     Katharine Hepburn,     The Lion in Winter,     Eleanor of Aquitaine,     True
1968,     (41st) best actress,     Barbra Streisand,     Funny Girl,     Fanny Brice,     True
1968,     (41st) best actress,     Patricia Neal,     The Subject was Roses,     Nettie Cleary,     False
1968,     (41st) best actress,     Vanessa Redgrave,     Isadora,     Isadora Duncan,     False
1968,     (41st) best actress,     Joanne Woodward,     Rachel, Rachel,     Rachel Cameron,     False
1981,     (54th) best actress,     Katharine Hepburn,     On Golden Pond,     Ethel Thayer,     True
1981,     (54th) best actress,     Diane Keaton,     Reds,     Louise Bryant,     False
1981,     (54th) best actress,     Marsha Mason,     Only When I Laugh,     Georgia Hines,     False
1981,     (54th) best actress,     Susan Sarandon,     Atlantic City,     Sally Matthews,     False
1981,     (54th) best actress,     Meryl Streep,     The French Lieutenant's Woman,     Anna / Sara Woodruff,     False
1977,     (50th) best actress,     Diane Keaton,     Annie Hall,     Annie Hall,     True
1977,     (50th) best actress,     Anne Bancroft,     The Turning Point,     Emma Jacklin,     False
1977,     (50th) best actress,     Jane Fonda,     Julia,     Lillian Hellman,     False
1977,     (50th) best actress,     Shirley MacLaine,     The Turning Point,     Deedee Rodgers,     False
1977,     (50th) best actress,     Marsha Mason,     The Goodbye Girl,     Paula McFadden,     False
1997,     (70th) best actress,     Helen Hunt,     As Good as It Gets,     Carol Connelly,     True
1997,     (70th) best actress,     Helena Bonham Carter,     The Wings of the Dove,     Kate Croy,     False
1997,     (70th) best actress,     Julie Christie,     Afterglow,     Phyllis Mann,     False
1997,     (70th) best actress,     Judi Dench,     Mrs Brown,     Queen Victoria,     False
1997,     (70th) best actress,     Kate Winslet,     Titanic,     Rose DeWitt Bukater,     False
1949,     (22nd) best actress,     Olivia de Havilland,     The Heiress,     Catherine Sloper,     True
1949,     (22nd) best actress,     Jeanne Crain,     Pinky,     Patricia 'Pinky' Johnson,     False
1949,     (22nd) best actress,     Susan Hayward,     My Foolish Heart,     Eloise Winters,     False
1949,     (22nd) best actress,     Deborah Kerr,     Edward, My Son,     Evelyn Boult,     False
1949,     (22nd) best actress,     Loretta Young,     Come to the Stable,     Margaret,     False
2011,     (84th) best actress,     Meryl Streep,     The Iron Lady,     Margaret Thatcher,     True
2011,     (84th) best actress,     Glenn Close,     Albert Nobbs,     Albert Nobbs,     False
2011,     (84th) best actress,     Viola Davis,     The Help,     Aibileen Clark,     False
2011,     (84th) best actress,     Rooney Mara,     The Girl with the Dragon Tattoo,     Lisbeth Salander,     False
2011,     (84th) best actress,     Michelle Williams,     My Week with Marilyn,     Marilyn Monroe,     False
1948,     (21st) best actress,     Jane Wyman,     Johnny Belinda,     Belinda McDonald,     True
1948,     (21st) best actress,     Ingrid Bergman,     Joan of Arc,     Joan of Arc,     False
1948,     (21st) best actress,     Olivia de Havilland,     The Snake Pit,     Virginia Stuart Cunningham,     False
1948,     (21st) best actress,     Irene Dunne,     I Remember Mama,     Martha Hanson,     False
1948,     (21st) best actress,     Barbara Stanwyck,     Sorry, Wrong Number,     Leona Stevenson,     False
1950,     (23rd) best actress,     Judy Holliday,     Born Yesterday,     Emma 'Billie' Dawn,     True
1950,     (23rd) best actress,     Anne Baxter,     All About Eve,     Eve Harrington,     False
1950,     (23rd) best actress,     Bette Davis,     All About Eve,     Margo Channing,     False
1950,     (23rd) best actress,     Eleanor Parker,     Caged,     Marie Allen,     False
1950,     (23rd) best actress,     Gloria Swanson,     Sunset Boulevard,     Norma Desmond,     False
1979,     (52nd) best actress,     Sally Field,     Norma Rae,     Norma Rae Webster,     True
1979,     (52nd) best actress,     Jill Clayburgh,     Starting Over,     Marilyn Holmberg,     False
1979,     (52nd) best actress,     Jane Fonda,     The China Syndrome,     Kimberly Wells,     False
1979,     (52nd) best actress,     Marsha Mason,     Chapter Two,     Jennie MacLaine,     False
1979,     (52nd) best actress,     Bette Midler,     The Rose,     Mary Rose Foster,     False
1980,     (53rd) best actress,     Sissy Spacek,     Coal Miner's Daughter,     Loretta Lynn,     True
1980,     (53rd) best actress,     Ellen Burstyn,     Resurrection,     Edna Mae Harper-McCauley,     False
1980,     (53rd) best actress,     Goldie Hawn,     Private Benjamin,     Judy Benjamin,     False
1980,     (53rd) best actress,     Mary Tyler Moore,     Ordinary People,     Beth Jarrett,     False
1980,     (53rd) best actress,     Gena Rowlands,     Gloria,     Gloria Swenson,     False
1947,     (20th) best actress,     Loretta Young,     The Farmer's Daughter,     Katie Holstrom,     True
1947,     (20th) best actress,     Joan Crawford,     Possessed,     Louise Howell,     False
1947,     (20th) best actress,     Susan Hayward,     Smash-Up, the Story of a Woman,     Angelica Evans Conway,     False
1947,     (20th) best actress,     Dorothy McGuire,     Gentleman's Agreement,     Kathy Lacy,     False
1947,     (20th) best actress,     Rosalind Russell,     Mourning Becomes Electra,     Lavinia Mannon,     False
1967,     (40th) best actress,     Katharine Hepburn,     Guess Who's Coming to Dinner,     Christina Drayton,     True
1967,     (40th) best actress,     Anne Bancroft,     The Graduate,     Mrs. Robinson,     False
1967,     (40th) best actress,     Faye Dunaway,     Bonnie and Clyde,     Bonnie Parker,     False
1967,     (40th) best actress,     Edith Evans,     The Whisperers,     Maggie Ross,     False
1967,     (40th) best actress,     Audrey Hepburn,     Wait Until Dark,     Susy Hendrix,     False
1951,     (24th) best actress,     Vivien Leigh,     A Streetcar Named Desire,     Blanche DuBois,     True
1951,     (24th) best actress,     Katharine Hepburn,     The African Queen,     Rose Sayer,     False
1951,     (24th) best actress,     Eleanor Parker,     Detective Story,     Mary McLeod,     False
1951,     (24th) best actress,     Shelley Winters,     A Place in the Sun,     Alice Tripp,     False
1951,     (24th) best actress,     Jane Wyman,     The Blue Veil,     Louise Mason,     False
2010,     (83rd) best actress,     Natalie Portman,     Black Swan,     Nina Sayers,     True
2010,     (83rd) best actress,     Annette Bening,     The Kids Are All Right,     Nicole "Nic" Allgood,     False
2010,     (83rd) best actress,     Nicole Kidman,     Rabbit Hole,     Becca Corbett,     False
2010,     (83rd) best actress,     Jennifer Lawrence,     Winter's Bone,     Ree Dolly,     False
2010,     (83rd) best actress,     Michelle Williams,     Blue Valentine,     Cynthia "Cindy" Heller,     False
1955,     (28th) best actress,     Anna Magnani,     The Rose Tattoo,     Serafina Delle Rose,     True
1955,     (28th) best actress,     Susan Hayward,     I'll Cry Tomorrow,     Lillian Roth,     False
1955,     (28th) best actress,     Katharine Hepburn,     Summertime,     Jane Hudson,     False
1955,     (28th) best actress,     Jennifer Jones,     Love is a Many-Splendored Thing,     Han Suyin,     False
1955,     (28th) best actress,     Eleanor Parker,     Interrupted Melody,     Marjorie Lawrence,     False
2006,     (79th) best actress,     Helen Mirren,     The Queen,     Queen Elizabeth II,     True
2006,     (79th) best actress,     Penélope Cruz,     Volver,     Raimunda,     False
2006,     (79th) best actress,     Judi Dench,     Notes on a Scandal,     Barbara Covett,     False
2006,     (79th) best actress,     Meryl Streep,     The Devil Wears Prada,     Miranda Priestly,     False
2006,     (79th) best actress,     Kate Winslet,     Little Children,     Sarah Pierce,     False
2012,     (85th) best actress,     Jennifer Lawrence,     Silver Linings Playbook,     Tiffany Maxwell,     True
2012,     (85th) best actress,     Jessica Chastain,     Zero Dark Thirty,     Maya,     False
2012,     (85th) best actress,     Emmanuelle Riva,     Amour,     Anne Laurent,     False
2012,     (85th) best actress,     Quvenzhané Wallis,     Beasts of the Southern Wild,     Hushpuppy,     False
2012,     (85th) best actress,     Naomi Watts,     The Impossible,     Maria Bennett,     False
1958,     (31st) best actress,     Susan Hayward,     I Want to Live!,     Barbara Graham,     True
1958,     (31st) best actress,     Deborah Kerr,     Separate Tables,     Sibyl Railton-Bell,     False
1958,     (31st) best actress,     Shirley MacLaine,     Some Came Running,     Ginnie Moorehead,     False
1958,     (31st) best actress,     Rosalind Russell,     Auntie Mame,     Mame Dennis,     False
1958,     (31st) best actress,     Elizabeth Taylor,     Cat on a Hot Tin Roof,     Margaret "Maggie the Cat" Pollitt,     False
1988,     (61st) best actress,     Jodie Foster,     The Accused,     Sarah Tobias,     True
1988,     (61st) best actress,     Glenn Close,     Dangerous Liaisons,     Marquise Isabelle de Merteuil,     False
1988,     (61st) best actress,     Melanie Griffith,     Working Girl,     Tess McGill,     False
1988,     (61st) best actress,     Meryl Streep,     A Cry in the Dark,     Lindy Chamberlain-Creighton,     False
1988,     (61st) best actress,     Sigourney Weaver,     Gorillas in the Mist,     Dian Fossey,     False
1946,     (19th) best actress,     Olivia de Havilland,     To Each His Own,     Josephine 'Jody' Norris,     True
1946,     (19th) best actress,     Celia Johnson,     Brief Encounter,     Laura Jesson,     False
1946,     (19th) best actress,     Jennifer Jones,     Duel in the Sun,     Pearl Chavez,     False
1946,     (19th) best actress,     Rosalind Russell,     Sister Kenny,     Elizabeth Kenny,     False
1946,     (19th) best actress,     Jane Wyman,     The Yearling,     Orry Baxter,     False
1970,     (43rd) best actress,     Glenda Jackson,     Women in Love,     Gudrun Brangwen,     True
1970,     (43rd) best actress,     Jane Alexander,     The Great White Hope,     Eleanor Backman,     False
1970,     (43rd) best actress,     Ali MacGraw,     Love Story,     Jennifer Cavalleri-Barrett,     False
1970,     (43rd) best actress,     Sarah Miles,     Ryan's Daughter,     Rosy Ryan,     False
1970,     (43rd) best actress,     Carrie Snodgress,     Diary of a Mad Housewife,     Bettina "Tina" Balser,     False
2004,     (77th) best actress,     Hilary Swank,     Million Dollar Baby,     Margaret "Maggie" Fitzgerald,     True
2004,     (77th) best actress,     Annette Bening,     Being Julia,     Julia Lambert,     False
2004,     (77th) best actress,     Catalina Sandino Moreno,     Maria Full of Grace,     María Álvarez,     False
2004,     (77th) best actress,     Imelda Staunton,     Vera Drake,     Vera Rose Drake,     False
2004,     (77th) best actress,     Kate Winslet,     Eternal Sunshine of the Spotless Mind,     Clementine Kruczynski,     False
2002,     (75th) best actress,     Nicole Kidman,     The Hours,     Virginia Woolf,     True
2002,     (75th) best actress,     Salma Hayek,     Frida,     Frida Kahlo,     False
2002,     (75th) best actress,     Diane Lane,     Unfaithful,     Constance 'Connie' Sumner,     False
2002,     (75th) best actress,     Julianne Moore,     Far from Heaven,     Cathy Whitaker,     False
2002,     (75th) best actress,     Renée Zellweger,     Chicago,     Roxie Hart,     False
1976,     (49th) best actress,     Faye Dunaway,     Network,     Diana Christensen,     True
1976,     (49th) best actress,     Marie-Christine Barrault,     Cousin Cousine,     Marthe,     False
1976,     (49th) best actress,     Talia Shire,     Rocky,     Adrian Pennino,     False
1976,     (49th) best actress,     Sissy Spacek,     Carrie,     Carrie White,     False
1976,     (49th) best actress,     Liv Ullmann,     Face to Face,     Jenny Isaksson,     False
1961,     (34th) best actress,     Sophia Loren,     Two Women,     Cesira,     True
1961,     (34th) best actress,     Audrey Hepburn,     Breakfast at Tiffany's,     Holly Golightly / Lula Mae Barnes,     False
1961,     (34th) best actress,     Piper Laurie,     The Hustler,     Sarah Packard,     False
1961,     (34th) best actress,     Geraldine Page,     Summer and Smoke,     Alma Winemiller,     False
1961,     (34th) best actress,     Natalie Wood,     Splendor in the Grass,     Wilma Dean 'Deanie' Loomis,     False
1998,     (71st) best actress,     Gwyneth Paltrow,     Shakespeare in Love,     Viola de Lesseps/Thomas Kent,     True
1998,     (71st) best actress,     Cate Blanchett,     Elizabeth,     Queen Elizabeth I of England,     False
1998,     (71st) best actress,     Fernanda Montenegro,     Central Station,     Isadora "Dora" Teixeira,     False
1998,     (71st) best actress,     Meryl Streep,     One True Thing,     Kate Gulden,     False
1998,     (71st) best actress,     Emily Watson,     Hilary and Jackie,     Jacqueline du Pré,     False
1945,     (18th) best actress,     Joan Crawford,     Mildred Pierce,     Mildred Pierce Beragon,     True
